Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Company_Reply,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&Comment,Burger King,https://twitter.com/AngelNumberz_/status/1483109963916615683,,https://twitter.com/@AngelNumberz_,2022-01-17T16:12:24.000Z,Guys OMG. Burger King vegan nuggets are BOMB,,"https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,2,0,15,N/A
Post&Comment,Burger King,https://twitter.com/00dodd/status/1483137561258336262,j,https://twitter.com/@00dodd,2022-01-17T18:02:04.000Z,Burger King gave my veggie sister actual nuggets instead of the veggie ones and they apologised and said she can have a free whopper meal,,"https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,3,0,20,N/A
Post&Comment,Burger King,https://twitter.com/russellalford_/status/1483104554526949378,Russell,https://twitter.com/@russellalford_,2022-01-17T15:50:55.000Z,"My ranking of the plant based fast food chain burgers are as follows 

  McPlant 
  KFC Vegan Burger 

Still to try the Burger King one.",,"https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,0,4,N/A
Post&Comment,Burger King,https://twitter.com/Sairyuto/status/1483082916095995905,Sairyuto,https://twitter.com/@Sairyuto,2022-01-17T14:24:56.000Z,"""i don't need commendations i have my 1500 for the burger king crown"" LET ME PRAISE YOU",,"https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,1,0,8,N/A
Post&Comment,Burger King,https://twitter.com/Myrddn/status/1483210525290991625,Richard Ferrar,https://twitter.com/@Myrddn,2022-01-17T22:52:00.000Z,"Immature black vulture on a lamppost at Burger King on a brutally cold day.
Waiting for a bacon double cheeseburger, perhaps.
#birdwatching #NaturePhotography","https://pbs.twimg.com/media/FJVsFjpXsAcCr0o?format=jpg&name=small, ","https://video.twimg.com/tweet_video/FJV4egRXwAQPsr5.mp4, ",False,,5,2,23,N/A
Post&Comment,Burger King,https://twitter.com/ConorONeill_DI/status/1483109862481530883,Conor O'Neill,https://twitter.com/@ConorONeill_DI,2022-01-17T16:12:00.000Z,"""He's one of those Burger King All-Americans that likes to kick McDonald's ass."" 

Steve Forbes on Alondes Williams.",,,False,,4,20,173,N/A
Post&Comment,Burger King,https://twitter.com/cpj1/status/1483147352257048578,cpj1,https://twitter.com/@cpj1,2022-01-17T18:40:58.000Z,My phone is reminding me of that one time in 2017 when I visited a Burger King.,"https://pbs.twimg.com/media/FJUypuIXoA0HvqJ?format=jpg&name=900x900, ",,False,,0,0,4,N/A
Post&Comment,Burger King,https://twitter.com/JPEG_NINJA/status/1483149425807556608,GoBigorGoHome @TheSpicoli.eth,https://twitter.com/GoBigorGoHome @TheSpicoli.eth,2022-01-17T18:49:13.000Z,"Had some serious FOMO-Burger King and Trophy Champ 
@SamuelLJackson
 @JimmyKimmelLive
 It’s all these guys faults. Here’s a sleeper, best thing is, they give back to 
@PhxChildrens
 @JPandFriendsNFT
  Please retweet and check them out .037 mint for a good cause","https://pbs.twimg.com/media/FJU0ip6VIAQL82M?format=jpg&name=360x360, https://pbs.twimg.com/media/FJU0ip7VEAM7YsS?format=jpg&name=360x360, ",,False,,0,3,3,N/A
Post&Comment,Burger King,https://twitter.com/Life_wars/status/1483126029728239617,Sphygmomanometer,https://twitter.com/@Life_wars,2022-01-17T17:16:15.000Z,"Replying to 
@extentropy",,,False,,2,1,4,N/A
Post&Comment,Burger King,https://twitter.com/dono_v/status/1483206260828872711,SOCACHARGED 2023 OUT NOW,https://twitter.com/@dono_v,2022-01-17T22:35:03.000Z,"Burger King Ironshore. People dem a run a side hustle with the security guards to get through before proper waiting customers & when I did manage to get inside the cashier gave me HELLA attitude for no good reason. Slow service too.

 -2/10",,,False,,2,8,16,N/A
Post&Comment,Burger King,https://twitter.com/DarinMRealty/status/1483120586914156549,Darin Moravitz Lakeplace-Brothers Realty,https://twitter.com/@DarinMRealty,2022-01-17T16:54:37.000Z,"Are you ready to open a new business in Cumberland, WI? We have commercial lots available at a great location close to Holiday, Burger King, and the new Kwik Trip! 

See more details here: https://lakeplace.com/prime-property/1511456/…","https://pbs.twimg.com/media/FJUaTqhXMAMrHa8?format=jpg&name=small, ",,False,,0,2,3,N/A
Post&Comment,Burger King,https://twitter.com/AmandaBurroughs/status/1483181970028904455,Amanda Burroughs,https://twitter.com/@AmandaBurroughs,2022-01-17T20:58:32.000Z,"On second thought, nailing yourself to the ""academia is the hardest most exhausting job in the world"" cross might beat that. It's always the people who never worked at Walmart or Burger King who think this. I'm begging you to get over yourself.",,,False,,2,0,11,N/A
