Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
1016,Pizza Donna Overtoom,"Overtoom 530, 1054LL Amsterdam, ","Maandag: 16:00 - 22:00
Dinsdag: 16:00 - 22:00
Woensdag: 16:00 - 22:00
Donderdag: 16:00 - 22:00
Vrijdag: 16:00 - 22:00
Zaterdag: 16:00 - 22:00
Zondag: 16:00 - 22:00
","Pizza's, Pizza esclusivo, Calzone, 1 pizza 2 smaken, Pizza samenstellen, Pasta's, Hotwings en snacks, ","4,6, op basis van 203 beoordelingen",Bezorgen in 20-45 min,,"€ 15,00",https://www.thuisbezorgd.nl/menu/pizza-donna-overtoom
1016,I Love Roti,"Nieuwpoortkade 22, 1055RX Amsterdam, ","Maandag: 17:00 - 23:45
Dinsdag: 17:00 - 23:45
Woensdag: 17:00 - 23:45
Donderdag: 17:00 - 23:45
Vrijdag: 17:00 - 23:45
Zaterdag: 17:00 - 23:45
Zondag: 17:00 - 23:45
","Roti gerechten, Roti rollen, Rijstgerechten, Bami gerechten, Nasi gerechten, Bara's, Extra's, Desserts, ","4,3, op basis van 55 beoordelingen",Bezorgen in 30-55 min,"€ 1,50","€ 13,50",https://www.thuisbezorgd.nl/menu/i-love-roti-1
1016,Fresh2Go Sushi Amsterdam,"Van Woustraat 39H, 1074AB Amsterdam, ","Maandag: 11:45 - 21:30
Dinsdag: 11:45 - 21:30
Woensdag: 11:45 - 21:30
Donderdag: 11:45 - 21:30
Vrijdag: 11:45 - 21:45
Zaterdag: 11:45 - 21:45
Zondag: 11:45 - 21:30
","Menu's, Special fresh inside out, Inside out maki, Nigiri sushi, Handroll, Mini maki, Maki XL, Futo maki, ","4,8, op basis van 14.685 beoordelingen",Bezorgen in 30-55 min,"€ 3,99","€ 16,50",https://www.thuisbezorgd.nl/menu/fresh2go-sushi
1016,Monte Verde,"Albert Cuypstraat 15-17, 1072CK Amsterdam, ","Maandag: 16:30 - 03:00
Dinsdag: 16:00 - 03:00
Woensdag: 16:30 - 03:00
Donderdag: Gesloten voor bezorging
Vrijdag: 16:30 - 03:00
Zaterdag: 16:30 - 03:00
Zondag: 16:30 - 03:00
","Soepen, Salades, Voorgerechten, Pizza's, Pasta's, Specialiteiten van het huis, Pasta al forno, Risotto, ","3,8, op basis van 445 beoordelingen",Bezorgen in 15-40 min,"€ 2,50","€ 22,50",https://www.thuisbezorgd.nl/menu/monte-verde
1016,Yattsu Sushi,"Maasstraat 96, 1078HM Amsterdam, ","Maandag: 15:15 - 20:45
Dinsdag: 15:15 - 20:45
Woensdag: 15:15 - 20:45
Donderdag: 15:15 - 20:45
Vrijdag: 15:15 - 20:45
Zaterdag: 15:15 - 20:45
Zondag: 15:15 - 20:45
","Menu boxen, Specials, Pokébowls, Uramaki, Sashimi, Temaki, Nigiri, Hosomaki, Warme gerechten, ","4,2, op basis van 62 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 22,00",https://www.thuisbezorgd.nl/menu/yattzu-sushi
1016,Albert Heijn,"Bilderdijkstraat 37h, 1053 KK Amsterdam, ","Maandag: 08:00 - 21:00
Dinsdag: 08:00 - 21:00
Woensdag: 08:00 - 21:00
Donderdag: 08:00 - 21:00
Vrijdag: 08:00 - 21:00
Zaterdag: 08:00 - 21:00
Zondag: 09:00 - 21:00
","Vers uit de keuken, Fruit, Groente en aardappelen, Maaltijden en salades, Soep en warme snacks, ","3,8, op basis van 965 beoordelingen",Bezorgen in 25-45 min,,"€ 10,00",https://www.thuisbezorgd.nl/menu/ah-amsterdam
1016,ZUMA SUSHI,"De Clercqstraat 113 H, 1053AJ Amsterdam, ","Maandag: 12:15 - 23:00
Dinsdag: 14:00 - 22:00
Woensdag: 14:00 - 22:00
Donderdag: 12:15 - 23:00
Vrijdag: 12:15 - 01:00
Zaterdag: 12:15 - 01:00
Zondag: 12:15 - 22:00
","Sushiboxen, Sushi for one boxen, Family boxen, Zuma specials, Soft shell rolls, Poké bowls, Crispy rolls, ","4,3, op basis van 851 beoordelingen",Bezorgen in 50-75 min,"€ 1,99","€ 20,00",https://www.thuisbezorgd.nl/menu/zuma-sushi
1016,Amsterdam Sweet Spot,"Tweede Keucheniusstraat 12, 1051VR Amsterdam, ","Maandag: 16:30 - 02:00
Dinsdag: 16:30 - 02:00
Woensdag: 16:30 - 02:00
Donderdag: 16:30 - 02:00
Vrijdag: 16:30 - 03:00
Zaterdag: 16:30 - 03:00
Zondag: 16:30 - 03:00
","Churros, Premium taartpunten, Donuts en brownies, Luxe pastries, Specials, Premium taarten, IJstaarten, ","2,8, op basis van 37 beoordelingen",Bezorgen in 45-70 min,"€ 1,99","€ 15,00",https://www.thuisbezorgd.nl/menu/tandoori-flames-new
1016,Aarti2 roti,,"Maandag: 11:30 - 21:45
Dinsdag: 11:30 - 21:45
Woensdag: 11:30 - 21:45
Donderdag: 11:30 - 21:45
Vrijdag: 11:30 - 21:45
Zaterdag: 12:00 - 21:45
Zondag: 13:00 - 21:45
","Roti gerechten, Vegetarische gerechten, Nasi gerechten, Bami gerechten, Tjauwmin gerechten, ","3,9, op basis van 1.102 beoordelingen",Bezorgen in 20-45 min,"€ 1,75","€ 15,00",https://www.thuisbezorgd.nl/menu/aarti-2
1016,Hayai Sushi,"Bos en Lommerweg 130H, 1055ED Amsterdam, ","Maandag: 12:00 - 22:00
Dinsdag: 12:00 - 22:00
Woensdag: 12:00 - 22:00
Donderdag: 12:00 - 22:00
Vrijdag: 12:00 - 22:00
Zaterdag: 12:00 - 22:00
Zondag: 12:00 - 22:00
","Tegen verspilling, Specials, Pokébowls, Special boxen, Hayai sushi boxen, Speciale rolls, Uramaki, ","3,8, op basis van 1.027 beoordelingen",Bezorgen in 30-55 min,"€ 1,50","€ 15,00",https://www.thuisbezorgd.nl/menu/hayai-sushi-amsterdam
