Postcode,Name,Address,Opening Times,Categories,Rating,Delivery Time,Delivery Cost,Minimum Order,Product Url
4001,Bullies verse frites en ijs,,"Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: Gesloten voor bezorging
Donderdag: 16:30 - 19:30
Vrijdag: 16:30 - 19:00
Zaterdag: 16:30 - 19:00
Zondag: Gesloten voor bezorging
","Broodjes, Verse friet, Loaded fries, Snacks, Kindermenu, Sauzen, Milkshake, Frisdranken, Alcoholische dranken, ","4,4, op basis van 157 beoordelingen",Bezorgen vanaf 16:30,"€ 2,50","€ 17,50",https://www.thuisbezorgd.nl/menu/bullies-verse-frites-en-ijs
4001,Osteria La Corte,"Edisonstraat 21-11, 4004JL Tiel, ","Maandag: 16:30 - 21:00
Dinsdag: Gesloten voor bezorging
Woensdag: 16:30 - 22:00
Donderdag: 16:30 - 22:00
Vrijdag: 16:30 - 22:00
Zaterdag: 16:30 - 22:00
Zondag: 16:30 - 22:00
","Warme voorgerechten, Koude voorgerechten, Salade, Pasta, Vis- en vleesgerechten, Pizza, Kindergerechten, ","4,8, op basis van 506 beoordelingen",Bezorgen vanaf 16:30,"€ 2,00","€ 15,00",https://www.thuisbezorgd.nl/menu/osteria-la-corte
4001,Spare Rib Express,,"Maandag: 16:30 - 21:00
Dinsdag: 16:30 - 20:45
Woensdag: 16:15 - 21:00
Donderdag: 16:15 - 21:00
Vrijdag: 16:15 - 21:00
Zaterdag: 16:00 - 21:15
Zondag: 15:45 - 21:15
","Spare Ribs, Spare Rib Menu's, Angus Beef Burgers, Chicken Burgers, Vegetarische burgers, Kip, Kids Meals, ","4,7, op basis van 849 beoordelingen",Bezorgen vanaf 16:00,"€ 3,50","€ 17,95",https://www.thuisbezorgd.nl/menu/spare-rib-express-geldermalsen-1
4001,Grieks Restaurant Eleny's,,"Maandag: 16:00 - 21:00
Dinsdag: 16:15 - 21:00
Woensdag: 16:30 - 21:00
Donderdag: 15:00 - 21:00
Vrijdag: 16:00 - 22:30
Zaterdag: 16:00 - 21:30
Zondag: 15:00 - 21:30
","Koude voorgerechten, Warme voorgerechten, Hoofdgerechten, Voor de kinderen, Extra's, Bijgerechten, ","4,5, op basis van 111 beoordelingen",Bezorgen vanaf 16:00,"€ 6,50","€ 35,00",https://www.thuisbezorgd.nl/menu/grieks-restaurant-elenys
4001,Ethem's,"Hoogeindestraat 9, 4001AA Tiel, ","Maandag: 11:00 - 21:00
Dinsdag: 11:00 - 21:00
Woensdag: 11:00 - 21:00
Donderdag: 11:00 - 21:00
Vrijdag: 11:00 - 21:00
Zaterdag: Gesloten voor bezorging
Zondag: 11:00 - 21:00
","Frites, Snacks, Döner, dürüm en shoarma, Turkse pizza, Kapsalon, Schotels, Huisgemaakte burgers, ","3,8, op basis van 1.050 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/ethems
4001,Tokyo Lounge,"Kleibergsestraat 6, 4001LE Tiel, ","Maandag: Gesloten voor bezorging
Dinsdag: Gesloten voor bezorging
Woensdag: Gesloten voor bezorging
Donderdag: Gesloten voor bezorging
Vrijdag: Gesloten voor bezorging
Zaterdag: Gesloten voor bezorging
Zondag: Gesloten voor bezorging
","Nigiri sushi, Gunkan sushi, Maki sushi, Temaki sushi, Inside out roll sushi, Poké bowls, Teppanyaki gerechten, ","4,5, op basis van 44 beoordelingen",Gesloten voor bezorging,,,https://www.thuisbezorgd.nl/menu/tokyolounge
4002,Time 4 Burgers,"Vleesstraat 15A, 4001BB Tiel, ","Maandag: 15:00 - 00:00
Dinsdag: 15:00 - 00:00
Woensdag: 15:00 - 00:00
Donderdag: 15:00 - 00:00
Vrijdag: 15:00 - 00:00
Zaterdag: 15:00 - 00:00
Zondag: 12:00 - 23:45
","Burger menu's, Burgers, Kindermenu, Snacks, Snack menu's, Tortilla's, Sauzen, Drankjes, ","4,4, op basis van 498 beoordelingen",Bezorgen in 15-40 min,"€ 1,50","€ 12,50",https://www.thuisbezorgd.nl/menu/time-4-burgers
4002,Bakkerij Sevdi,"Vleesstraat 11, 4001BB Tiel, ","Maandag: 10:00 - 19:45
Dinsdag: 10:00 - 19:45
Woensdag: 10:00 - 19:45
Donderdag: 10:00 - 19:45
Vrijdag: 10:00 - 19:45
Zaterdag: 10:30 - 19:45
Zondag: Gesloten voor bezorging
","Baklava, Kapsalons, Turkse pizza's, Döner kebab, Broodjes, Wraps, Extra's, Dranken, Sauzen, ","4,8, op basis van 1.594 beoordelingen",Bezorgen in 15-40 min,"€ 0,99","€ 10,00",https://www.thuisbezorgd.nl/menu/sevdi-bakkerij
4002,Kipperij Tiel,"Westledeplein 13, 4006BB Tiel, ","Maandag: 11:00 - 20:45
Dinsdag: 11:00 - 20:45
Woensdag: 11:00 - 20:45
Donderdag: 11:00 - 20:45
Vrijdag: 11:00 - 20:45
Zaterdag: 11:00 - 20:45
Zondag: 12:00 - 20:45
","Kipperijmenu's, Kapsalon en loaded fries, Grill en snacks, Broodjes, Bijgerechten, Desserts, Dranken, ","4,6, op basis van 448 beoordelingen",Bezorgen in 20-45 min,"€ 2,50","€ 9,99",https://www.thuisbezorgd.nl/menu/kipperij-tiel
4002,Ristorante Pizzeria Rossetti,"Plein 15AB, 4001LG Tiel, ","Maandag: 14:30 - 21:00
Dinsdag: 15:00 - 21:00
Woensdag: 15:00 - 21:00
Donderdag: 15:00 - 21:00
Vrijdag: 15:00 - 21:00
Zaterdag: 15:00 - 21:00
Zondag: 15:00 - 21:00
","Voorgerechten, Pasta's, Bambini, Pizza's, Vis- en vleesgerechten, Dessert, Frisdranken, Bieren, ","4,6, op basis van 715 beoordelingen",Bezorgen in 15-40 min,"€ 3,50","€ 25,00",https://www.thuisbezorgd.nl/menu/ristorante-pizzeria-rossetti
